TRP,LON,LAT,GS,TA
35312.3281,89.51226711,46.80433273,7.3248,64.6875
35315.4531,89.51240659,46.80443466,9.3595,47.8125
35317.6641,89.51247096,46.80452049,9.3595,36.5625
35319.1953,89.51250851,46.80457413,10.1733,30.9375
35321.8359,89.51261044,46.80469215,12.208,30.9375
35322.375,89.51262116,46.80472434,13.0219,30.9375
35322.8984,89.51265335,46.80474579,13.0219,30.9375
35323.4531,89.51268017,46.80477262,6.5109,30.9375
35323.9375,89.51269627,46.80479944,6.5109,30.9375
35324.3359,89.51270163,46.80481553,6.5109,30.9375
35324.9062,89.51273918,46.80484772,6.5109,28.125
35325.3516,89.51274991,46.80486918,7.3248,30.9375
35327.4375,89.51283574,46.8049711,7.3248,30.9375
35328.2266,89.51286793,46.80500865,7.3248,30.9375
35330.3125,89.51295376,46.80511057,7.3248,30.9375
35330.7891,89.51296985,46.8051374,7.3248,30.9375
35331.3438,89.5130074,46.80515885,8.1387,28.125
35331.7891,89.5130235,46.80518031,8.1387,28.125
35332.2109,89.51303959,46.8052125,7.3248,28.125
35333.1641,89.51307178,46.80526078,7.3248,28.125
35333.6406,89.51309323,46.80527687,7.3248,28.125
35334.1016,89.51310933,46.80529833,7.3248,28.125
35334.625,89.51312006,46.80533051,7.3248,28.125
35335.6172,89.51317906,46.80537879,8.1387,28.125
35336.5547,89.51320589,46.80542171,8.1387,28.125
35337.0625,89.51323807,46.8054539,8.1387,28.125
35337.6328,89.51326489,46.80548608,8.1387,28.125
35338.2188,89.51329172,46.80551291,9.3595,28.125
35338.7344,89.51330781,46.80553436,9.3595,28.125
35339.3047,89.51332927,46.80557728,9.3595,28.125
35340.25,89.51337218,46.80561483,8.7491,28.125
35342.2266,89.51345801,46.80571675,8.1387,28.125
35342.7656,89.51347411,46.8057543,8.1387,28.125
35343.7109,89.51352239,46.80579722,7.3248,28.125
35344.1562,89.51353848,46.80582404,7.3248,28.125
35344.5859,89.51354384,46.80583477,6.5109,28.125
35345.0547,89.51355457,46.80585623,6.5109,28.125
