TRP,LON,LAT,GS,TA
23937.6094,89.51814651,46.80175781,61.04,298.125
23939.5703,89.5168376,46.80226207,72.0272,298.125
23943.7578,89.51435924,46.80324912,61.04,298.125
23944.2188,89.51413929,46.80333495,61.04,298.125
23946.0312,89.51362431,46.80353343,57.3776,298.125
23948.7656,89.51235294,46.80402696,46.3904,298.125
23949.5781,89.51201499,46.80415034,57.3776,298.125
23950.1484,89.51175213,46.80425227,57.3776,298.125
23951.625,89.51116204,46.80449367,48.0182,298.125
23952.0938,89.51099575,46.80455267,48.0182,298.125
23954.1172,89.51027691,46.80483162,42.728,298.125
23955.1406,89.50993896,46.80497646,37.031,300.9375
23955.7109,89.50982094,46.80501938,37.031,300.9375
23956.1172,89.50966001,46.80508912,33.3686,300.9375
23956.625,89.50953662,46.8051374,33.3686,300.9375
23957.6484,89.50923622,46.80523932,31.3339,298.125
23959.9453,89.50851738,46.80552363,27.6715,298.125
23960.4609,89.50841546,46.80555582,27.6715,298.125
23960.8672,89.50829744,46.8056041,27.6715,298.125
23963.1875,89.50768054,46.8058455,24.8229,300.9375
23963.7578,89.50753033,46.80591524,24.0091,300.9375
23965.3203,89.50710118,46.80609226,23.1952,300.9375
23966.2578,89.50691342,46.80615664,22.3813,300.9375
23966.6797,89.50680614,46.80619419,22.3813,300.9375
23973.0781,89.50562596,46.80666089,22.3813,298.125
23974.5703,89.50533092,46.80677891,18.7189,298.125
23976.1953,89.50508952,46.8068701,15.8704,298.125
23976.7578,89.50501442,46.80689693,13.8357,300.9375
23978.4375,89.50483203,46.80696666,17.4981,300.9375
23981.8281,89.50452626,46.80709004,9.3595,298.125
23983.2812,89.50446188,46.80711687,10.1733,298.125
23985.03905,89.504373375,46.80714905,6.91785,299.53125
23986.6875,89.50430095,46.80718124,6.5109,300.9375
23988.3906,89.504223165,46.80720806,5.6971,300.9375
23989.1094,89.50419903,46.80721879,9.3595,298.125
23989.707,89.504174885,46.80722952,9.3595,298.125
23990.625,89.50412929,46.80724025,9.3595,298.125
23991.4453,89.5040971,46.80725098,8.1387,295.3125
23992.5078,89.50404346,46.80726171,7.3248,292.5
23993.9766,89.50402737,46.80726171,6.5109,289.6875
23994.71485,89.50399518,46.80727243,6.5109,288.28125
23996.1875,89.50394422,46.80727243,6.5109,285.46875
23998.2422,89.5038718,46.80728853,6.5109,281.25
23998.7109,89.50385571,46.80727243,6.5109,281.25
23999.4375,89.50382888,46.80728853,6.5109,278.4375
24000.42575,89.50378597,46.80728048,7.3248,278.4375
24001.5703,89.50374305,46.80727243,7.3248,278.4375
24003.3125,89.50367868,46.80728853,7.3248,278.4375
24005.1953,89.50360894,46.80729926,7.3248,284.0625
24006.1562,89.50358212,46.80730999,7.3248,286.875
24006.832,89.503536525,46.80732071,6.91785,288.28125
24007.5625,89.50350702,46.80733144,6.5109,292.5
24011.0391,89.50345874,46.80740118,3.6624,315.0
24011.9609,89.50344265,46.80742264,3.2555,320.625
24013.9219,89.50345874,46.80747092,2.4416,334.6875
24015.1211,89.50346947,46.80749774,1.6277,344.53125
24016.7031,89.50349629,46.8075192,5.6971,357.1875
24017.1562,89.50350702,46.80752456,4.4763,2.8125
24020.4297,89.50356066,46.80754066,2.0347,28.125
24021.21485,89.50359821,46.80752993,2.0347,35.15625
24023.4219,89.50366795,46.80752993,1.2208,45.0
24024.6562,89.50368404,46.80752993,0.8139,53.4375
24025.2422,89.50367868,46.80754066,0.8139,56.25
24025.7891,89.50370014,46.80752993,1.2208,59.0625
24026.7266,89.50372696,46.80752456,1.6277,64.6875
24027.2266,89.50374305,46.80751383,1.6277,67.5
24027.7422,89.50375378,46.8075192,2.0347,70.3125
24028.3984,89.50376987,46.807513835,2.23815,74.53125
24029.42185,89.50379133,46.8075031,2.6450500000000003,81.5625
24030.2734,89.50382352,46.80749774,3.2555,87.1875
24030.980450000003,89.50382888,46.807487015,3.45895,91.40625
24031.6328,89.50384498,46.80748165,3.6624,95.625
24032.41795,89.5038718,46.80747092,3.6624,99.84375
24033.41795,89.50388520999999,46.80746019,4.4763,105.46875
24034.1016,89.50390935,46.8074441,4.4763,106.875
24034.6484,89.50392544,46.80743873,4.4763,109.6875
24035.39455,89.503936175,46.80742264,5.0867,113.90625
24036.3008,89.50396835500001,46.80741191,5.6971,116.71875
24037.3867,89.50399518,46.80739045,5.6971,119.53125
24038.3164,89.50401932,46.80737972,1.6277,120.9375
24039.2344,89.504051505,46.80735826,1.6277,123.75
24040.0391,89.50408101,46.80734217,1.6277,123.75
24040.6094,89.5040971,46.80734754,1.6277,123.75
24041.23825,89.5041132,46.80732876,1.8312,123.75
24042.3906,89.50412929,46.80732071,2.0347,123.75
24043.08985,89.50415611,46.80730999,2.23815,123.75
24043.7969,89.50418293,46.80729926,2.4416,123.75
24044.2031,89.50419903,46.80728853,2.4416,123.75
24044.88285,89.50421512,46.80727243,2.4416,123.75
24045.6406,89.50424731,46.80726171,2.4416,123.75
24046.1094,89.5042634,46.80725098,2.8485,123.75
24046.6797,89.50430095,46.80724025,2.8485,123.75
24047.2344,89.50431168,46.80722952,2.8485,123.75
24047.7344,89.5043385,46.80721879,5.6971,126.5625
24048.25,89.5043546,46.80720806,5.6971,126.5625
24048.98435,89.504389465,46.80719733,5.6971,123.75
24049.6328,89.5044136,46.80718124,6.5109,123.75
24050.1562,89.50444043,46.80717051,6.5109,123.75
24050.6875,89.50445652,46.80715978,6.5109,123.75
24051.2578,89.50449944,46.80714905,6.5109,123.75
24051.7812,89.50452626,46.80713832,6.5109,123.75
24052.3125,89.50454235,46.80712759,7.3248,123.75
24053.2344,89.50459599,46.80710077,7.3248,123.75
24053.7891,89.50462818,46.80709004,7.3248,123.75
24054.3594,89.50464964,46.80707932,8.1387,123.75
24054.8203,89.50466573,46.80706859,8.1387,123.75
24055.2734,89.50468183,46.80705786,8.1387,123.75
24055.7812,89.50471401,46.80704176,8.1387,123.75
24056.3516,89.50476766,46.80702567,8.1387,123.75
24056.7812,89.50477839,46.80700958,8.1387,123.75
24057.46485,89.50480789,46.80699885,9.3595,123.75
24058.2422,89.50485349,46.80698276,9.3595,123.75
24058.7734,89.50488031,46.80696666,9.3595,123.75
24059.4297,89.504925905,46.80695593,10.1733,123.75
24060.0938,89.50495005,46.8069452,10.1733,120.9375
24060.5625,89.5049876,46.80692911,10.1733,120.9375
24061.0938,89.50502515,46.80691838,10.9872,120.9375
24061.5703,89.50505197,46.80689693,10.9872,120.9375
24062.0312,89.50508416,46.8068862,10.9872,120.9375
24062.4609,89.50510025,46.80687547,10.9872,120.9375
24062.9297,89.50514317,46.80685937,10.9872,123.75
24063.5,89.50517535,46.80684328,10.9872,123.75
24064.0547,89.50520217,46.80682719,12.208,120.9375
24064.9688,89.50526118,46.80681109,12.208,120.9375
24065.5547,89.50525045,46.80680573,12.208,120.9375
24067.0,89.50534701,46.80677891,13.0219,120.9375
24067.4219,89.50536847,46.80676818,13.0219,120.9375
24067.8516,89.50540066,46.80675209,13.0219,120.9375
24068.4219,89.50543284,46.80673599,13.0219,120.9375
24069.3203,89.50550258,46.80670917,6.5109,120.9375
24069.7812,89.50554013,46.80669308,6.5109,120.9375
24070.2422,89.50555623,46.80668235,6.5109,120.9375
24070.6641,89.50560451,46.80667162,6.5109,120.9375
24071.2188,89.50563669,46.8066448,6.5109,120.9375
24071.75,89.50569034,46.80663407,7.3248,120.9375
24072.2578,89.50572789,46.80662334,7.3248,120.9375
24073.1484,89.5057869,46.80660188,7.3248,120.9375
24074.6406,89.50589955,46.8065536,8.1387,120.9375
24075.1875,89.50595319,46.80653214,8.1387,120.9375
24075.6641,89.50599074,46.80652142,8.1387,120.9375
24076.1406,89.50603366,46.80649459,9.3595,120.9375
24076.6875,89.50607121,46.80648386,9.3595,120.9375
24077.1016,89.5061034,46.80647314,9.3595,120.9375
24077.5234,89.50614095,46.80645168,9.3595,120.9375
24077.9531,89.50617313,46.80644095,9.3595,120.9375
24078.4141,89.50620532,46.80643022,10.1733,120.9375
24079.4688,89.50629115,46.8064034,10.1733,120.9375
24080.0234,89.50635552,46.80637121,10.1733,120.9375
24081.125,89.50645745,46.80633903,10.9872,120.9375
24082.5781,89.50658619,46.80628538,10.9872,118.125
24087.3203,89.50701535,46.80612445,13.0219,118.125
24095.4688,89.50773418,46.8058455,13.8357,120.9375
24099.3203,89.50814724,46.80566847,14.6496,120.9375
