TRP,LON,LAT,GS,TA
38207.5703,89.526751,46.798368,240.4978,299.8828
38208.5469,89.526064,46.798646,240.4978,299.8828
38209.1016,89.525549,46.798818,240.4978,299.8828
38210.1094,89.524841,46.799119,238.87,299.8828
38211.0469,89.52409,46.799462,238.87,299.8828
38211.6328,89.523683,46.799591,238.87,299.8828
38212.0938,89.523318,46.799719,238.87,299.8828
38212.5234,89.523039,46.799827,238.87,299.8828
38213.0469,89.522545,46.800063,236.8354,299.8828
38213.9844,89.521945,46.800277,235.81805,299.5663624
38215.9219,89.520464,46.800835,234.8007,299.5312
38216.5,89.520099,46.800985,229.5105,299.1797
38217.0391,89.519691,46.801114,227.4759,299.1797
38217.5,89.519327,46.801286,227.4759,299.1797
38217.9297,89.519048,46.801372,227.4759,299.1797
38221.6719,89.516516,46.80238,199.8044,299.1797
38223.1641,89.5157,46.802702,185.1548,299.1797
38225.5781,89.514434,46.803217,164.8081,299.5312
38234.5625,89.510765,46.804612,109.0582,299.5312
38235.0938,89.51055,46.804719,109.0582,299.5312
38237.3438,89.509928,46.804934,99.6987,298.8281
38238.8281,89.509478,46.805127,94.4086,299.5312
38240.3516,89.50907,46.80532,88.7115,299.5312
38242.3281,89.508533,46.805491,88.7115,299.5312
38243.8438,89.508212,46.805642,79.3521,299.5312
38245.1641,89.50789511,46.80578649,22.3813,300.9375
38249.0156,89.50703144,46.80613518,26.8576,298.125
38259.5391,89.50506806,46.80689693,20.3467,300.9375
38260.0312,89.50499833,46.80691838,19.5328,300.9375
38261.5781,89.50483203,46.80699885,16.6843,300.9375
38262.1406,89.50476766,46.80702031,15.8704,300.9375
38263.6328,89.50462818,46.80707932,13.0219,300.9375
38266.4531,89.50446188,46.80717051,10.9872,306.5625
38267.0469,89.50444043,46.80719733,10.1733,309.375
38267.5625,89.50439751,46.80720806,10.1733,312.1875
38268.1328,89.50438678,46.80722952,9.3595,312.1875
38268.6016,89.50437069,46.80724025,10.1733,315.0
38269.0703,89.50432777,46.80725098,10.1733,315.0
38270.0938,89.50430095,46.80728853,10.1733,317.8125
38270.625,89.50426877,46.80730999,10.1733,317.8125
38272.0,89.50421512,46.8073529,9.3595,317.8125
38272.5781,89.50418293,46.80736899,9.3595,317.8125
38273.0,89.50416684,46.80737972,9.3595,315.0
38273.5547,89.50414538,46.80740118,9.3595,312.1875
38276.41015,89.50401932,46.80743873,3.45895,293.90625
38277.2266,89.50399518,46.80743337,2.4416,284.0625
38277.8125,89.50397372,46.80743873,2.0347,278.4375
38279.2969,89.50395763,46.80741191,5.6971,258.75
38281.30075,89.50394154,46.807395815,4.06935,229.21875
38284.2109,89.50395763,46.80736899,3.6624,194.0625
38285.5625,89.50396299,46.807347535,4.4763,180.0
38286.5859,89.50397372,46.80733681,4.4763,171.5625
38287.35935,89.50397909,46.807326075,5.6971,163.85458725
38288.2969,89.50399518,46.80731535,5.6971,157.5
38289.28125,89.50401127,46.80729926,1.6277,150.46875
38290.0703,89.50402737,46.80728853,1.6277,143.4375
38291.6016,89.50405955,46.80727243,2.03465,135.1030911
38292.0234,89.50408101,46.80726171,2.4416,129.375
38293.5,89.50412929,46.80725098,3.2555,123.75
38294.6992,89.504172205,46.80722952,3.45895,120.9375
38295.636750000005,89.504207075,46.80721879,4.06935,120.9375
38298.0078,89.50429559,46.80718124,5.6971,118.125
38298.4766,89.5043385,46.80717051,6.5109,118.125
38299.5,89.50438142,46.80714905,6.5109,118.125
38300.5391,89.50444043,46.80713832,7.3248,118.125
38302.6406,89.50454235,46.80709004,9.3595,118.125
38303.2031,89.50456381,46.80707932,9.3595,118.125
38303.6797,89.50459599,46.80706859,9.3595,118.125
38304.1406,89.50462818,46.80705786,10.1733,118.125
38305.0703,89.50468183,46.80703104,10.1733,118.125
38305.5469,89.50469792,46.80702567,10.9872,118.125
38306.5469,89.50476766,46.80699885,10.9872,118.125
38306.9609,89.50479984,46.80698276,10.9872,118.125
38307.5547,89.50483203,46.80697739,12.208,118.125
38308.0625,89.50486422,46.80695593,12.208,118.125
38309.1016,89.50493395,46.80692911,13.0219,118.125
38310.1562,89.50500369,46.80690765,6.5109,118.125
38312.0156,89.50513244,46.80686474,7.3248,118.125
38313.0781,89.50521827,46.80682719,8.1387,118.125
38313.5,89.50525045,46.80681646,8.1387,118.125
38314.0547,89.50528264,46.806795,8.1387,118.125
38316.0703,89.5054543,46.80673599,10.1733,118.125
38316.6562,89.50550258,46.8067199,10.1733,118.125
38317.7344,89.50558841,46.80668235,10.9872,118.125
38318.3203,89.50563669,46.80665553,10.9872,118.125
38321.8828,89.50596929,46.80653214,13.0219,118.125
38322.2891,89.50600147,46.80652142,13.0219,118.125
38323.1016,89.50607121,46.80649459,13.0219,118.125
38325.1562,89.50627506,46.80641413,13.8357,120.9375
38334.0,89.50719237,46.80604935,15.8704,118.125
38335.4688,89.50737476,46.80598497,16.6843,118.125
38335.9141,89.50742841,46.80596888,16.6843,118.125
38338.5156,89.50773418,46.8058455,17.4981,120.9375
38338.9766,89.50778782,46.80583477,17.4981,118.125
38339.4062,89.5078361,46.80580795,17.4981,118.125
38340.0,89.50789511,46.80577576,17.4981,118.125
38340.5469,89.50797558,46.8057543,17.4981,118.125
38341.4766,89.5080936,46.80570602,17.4981,118.125
38344.1875,89.50843692,46.80557728,18.7189,118.125
