TRP,LON,LAT,GS,TA
40079.4141,89.51673,46.802273,185.1548,299.8828
40079.8672,89.516451,46.802444,185.1548,299.8828
40083.9453,89.51437,46.803217,146.0892,299.1797
40084.5312,89.514112,46.803303,146.0892,299.1797
40089.2031,89.512353,46.804032,107.0235,299.8828
40090.1641,89.512053,46.80414,103.3611,300.2344
40090.5625,89.511924,46.804183,103.3611,300.2344
40091.4844,89.511623,46.804311,103.3611,300.2344
40091.9922,89.511495,46.804354,103.3611,300.2344
40093.4609,89.511173,46.804461,103.3611,300.2344
40096.0312,89.510422,46.804762,85.0491,298.8281
40097.8984,89.50995,46.804955,79.3521,299.5312
40099.0469,89.509735,46.805019,75.6896,298.8281
40099.9766,89.509478,46.805127,75.6896,298.8281
40102.6719,89.508877,46.805363,72.0272,299.1797
40103.6094,89.508662,46.805449,72.0272,299.1797
40104.36325,89.508555,46.805491,64.7024,298.4766
40106.0703,89.508212,46.805642,62.6678,300.2344
40106.6484,89.508147,46.805685,62.6678,300.2344
40107.86325,89.5078685,46.80577,60.0227,300.23435
40109.4766,89.507525,46.805921,57.3776,298.8281
40110.8125,89.507332,46.806006,55.343,299.8828
40119.9297,89.50583518,46.80660188,16.6843,300.9375
40121.9844,89.50551867,46.80671453,14.6496,300.9375
40122.5156,89.5054543,46.80675209,14.6496,300.9375
40125.7422,89.50500369,46.80692911,18.7189,298.125
40126.75,89.50488031,46.80696666,16.6843,300.9375
40127.2969,89.50483203,46.80698276,15.8704,300.9375
40128.7344,89.50469792,46.8070364,12.208,300.9375
40129.1328,89.50466573,46.80704713,10.1733,300.9375
40131.3789,89.50453967,46.80710077,9.156,300.9375
40132.0312,89.50451553,46.80711687,7.3248,300.9375
40133.5312,89.50444579,46.80714905,4.4763,303.75
40134.0234,89.5044297,46.80715978,4.4763,306.5625
40135.4922,89.50438142,46.80719733,4.4763,312.1875
40136.4688,89.50436533,46.80720806,4.4763,315.0
40137.0234,89.5043385,46.80722952,4.4763,317.8125
40137.8242,89.50431168,46.807245615,4.4763,319.21875
40138.5469,89.50430095,46.80726171,4.4763,320.625
40138.9766,89.50428486,46.80727243,4.4763,320.625
40140.0156,89.5042634,46.80730999,5.6971,323.4375
40140.9688,89.50423121,46.80733681,5.6971,326.25
40141.64845,89.50421512,46.807358265000005,5.6971,326.25
40142.3594,89.50419366,46.80737972,5.6971,329.0625
40142.8047,89.50417757,46.80739045,5.6971,329.0625
40143.8438,89.50416684,46.80741191,4.4763,329.0625
40144.4219,89.50414538,46.80743337,4.4763,329.0625
40145.1914,89.50412929,46.807454825,4.4763,329.0625
40145.8516,89.5041132,46.80746019,4.4763,326.25
40146.4453,89.50409174,46.80748165,3.6624,326.25
40146.9922,89.50408101,46.80749774,3.6624,326.25
40147.9297,89.50404346,46.80751383,3.6624,323.4375
40149.0312,89.50402737,46.80752993,3.2555,317.8125
40149.5938,89.50401127,46.80754066,3.2555,315.0
40151.0859,89.50396299,46.80756211,2.8485,303.75
40153.9062,89.50386107,46.80756211,2.0347,278.4375
40154.5,89.50385571,46.80756748,2.0347,272.8125
40157.1016,89.50379133,46.80754066,5.6971,250.3125
40158.7383,89.50378597,46.8075192,5.6971,234.84375
40160.24215,89.503767195,46.8075031,4.4763,220.78125
40161.5703,89.50375915,46.80748165,4.4763,210.9375
40162.41405,89.50376987,46.80747092,4.4763,203.90625
40163.1328,89.50375915,46.80746019,4.4763,196.875
40164.1406,89.50376987,46.80744946,4.4763,188.4375
40164.6875,89.50377524,46.80743337,4.4763,182.8125
40166.125,89.50378597,46.807428,4.4763,168.75
40166.73045,89.50380206,46.80741191,5.6971,164.53125
40167.9531,89.50381279,46.80740118,5.6971,154.6875
40168.77345,89.50383961,46.80739045,1.6277,146.25
40169.6875,89.50385839,46.80737972,2.0347,139.21875
40170.3828,89.50387716,46.80736899,2.4416,135.0
40170.9297,89.50388789,46.80735826,2.8485,135.0
40171.9922,89.50393081,46.80734217,3.2555,129.375
40172.8828,89.50395763,46.80733681,3.6624,126.5625
40173.6172,89.50398445,46.80732071,4.4763,123.75
40174.4141,89.50401127,46.80730999,5.6971,123.75
40175.0078,89.50404346,46.80729926,5.6971,120.9375
40175.4219,89.50405955,46.80728853,6.5109,120.9375
40176.15625,89.504097105,46.80727243,6.91785,120.9375
40177.17575,89.50415611,46.80725098,7.73175,119.53125
40178.3594,89.50421512,46.80722952,9.3595,118.125
40178.7734,89.50423121,46.80721879,9.3595,118.125
40179.75,89.50430095,46.80719733,10.1733,118.125
40180.1953,89.50431705,46.80718124,10.9872,118.125
40181.2344,89.50438142,46.80715978,12.208,118.125
40181.8125,89.50442433,46.80714905,12.208,118.125
40182.3516,89.50446188,46.80712759,13.0219,120.9375
40182.8125,89.50447798,46.80711687,13.0219,120.9375
40183.2422,89.50451553,46.80710077,13.0219,120.9375
40183.8438,89.50455844,46.80709004,6.5109,120.9375
40184.875,89.50464427,46.80705786,7.3248,118.125
40185.3125,89.50468183,46.80704176,7.3248,118.125
40186.4219,89.5047462,46.80700958,8.1387,118.125
40186.9844,89.50479984,46.80699885,9.3595,118.125
40187.5469,89.50484812,46.80697739,9.3595,118.125
40188.0234,89.50488031,46.80696666,10.1733,118.125
40188.9297,89.5049715,46.80693984,10.9872,118.125
40189.4141,89.50500369,46.80692911,10.9872,118.125
40189.8828,89.50505197,46.80690765,12.208,118.125
40190.8906,89.50514317,46.8068701,12.208,118.125
40191.3047,89.50517535,46.80685937,13.0219,118.125
40195.4766,89.50555623,46.8067199,13.8357,118.125
40195.8984,89.5056206,46.80669308,13.8357,118.125
40196.3594,89.50565279,46.80668235,13.8357,120.9375
40198.8047,89.50590491,46.80657506,14.6496,120.9375
40199.3516,89.50596929,46.8065536,14.6496,120.9375
40199.8828,89.50602293,46.80653214,14.6496,120.9375
40201.0,89.50614095,46.80648386,14.6496,120.9375
40202.9297,89.5063448,46.8064034,15.8704,120.9375
40204.9688,89.5065701,46.8063122,15.8704,118.125
40210.7109,89.50724602,46.80604935,17.4981,120.9375
40211.7578,89.50737476,46.8059957,17.4981,120.9375
40213.1953,89.50754642,46.80592597,17.4981,120.9375
40213.6016,89.5075947,46.80591524,17.4981,120.9375
40214.0156,89.50764835,46.80588841,17.4981,120.9375
40214.5234,89.50771809,46.80586696,17.4981,120.9375
40215.0234,89.50777173,46.8058455,17.4981,120.9375
40215.625,89.50783074,46.80580795,17.4981,120.9375
40216.0625,89.50789511,46.80578649,17.4981,120.9375
40217.0312,89.50800776,46.80574358,18.7189,120.9375
40217.4531,89.5080775,46.80572748,18.7189,120.9375
40218.0,89.50813115,46.8056953,18.7189,120.9375
40218.4922,89.50820088,46.80567384,18.7189,120.9375
