,LON,LAT,GS,TA
40238.9688,89.51049685,46.80477262,13.8357,120.9375
40239.9688,89.51058756727762,46.80473912362932,13.62397692067526,120.9375
40240.9688,89.51067828455524,46.804705627258635,13.41225384135052,120.9375
40241.9688,89.51076900183287,46.804672130887944,13.20053076202578,120.9375
40242.9688,89.51085922688087,46.80463843874307,12.906535907134108,120.82359790381756
40243.9688,89.51094679489663,46.804603689818364,12.168441902884968,120.09485768513093
40244.9688,89.51103436291237,46.80456894089366,11.43034789863583,119.36611746644431
40245.9688,89.51112193092813,46.80453419196896,10.692253894386692,118.6373772477577
40246.9688,89.51120626239484,46.80450085281551,9.797936338778504,118.125
40247.9688,89.51128292926863,46.80447085219412,8.53365994531271,118.125
40248.9688,89.51135243436848,46.804440775574264,7.510387841022086,118.125
40249.9688,89.51142279191525,46.804414661952094,8.385527521346184,118.125
40250.9688,89.51149575520279,46.80438700103557,13.0219,118.125
40251.9688,89.51155606219477,46.8043703418467,12.212691241860579,118.125
40252.9688,89.51161600353538,46.8043532310856,11.511544633982021,116.06203979260077
40253.9688,89.51167591272112,46.804336116279195,10.81239755169657,113.99110649199221
40254.9688,89.51173582190685,46.804319001472784,10.113250469411117,111.92017319138364
40255.9688,89.5117957310926,46.80430188666638,9.414103387125664,109.84923989077507
40256.9688,89.51185872847684,46.804294185253,9.681216217838882,103.57230247641286
40257.9688,89.51192198748198,46.804287281307886,10.030187058318834,96.93904775943786
40258.9688,89.51198908168242,46.804288786431215,10.1733,90.81198665297295
40259.9688,89.51204806643055,46.80429876192679,9.834206802423774,84.14045454544645
40260.9688,89.51210528824873,46.804309166775276,9.439637105454077,77.32227272726463
40261.9688,89.51216763804207,46.80432895257572,9.535269062500895,70.69516225960302
40262.9688,89.51221921857092,46.80434829752764,10.024331562501766,63.93434495189865
40263.9688,89.51227768756806,46.80437913246824,10.1733,56.270417422840374
40264.9688,89.51232821485196,46.804419369614344,9.734618335455552,50.74245373191075
40265.9688,89.51237280213331,46.804461975033526,9.058162414804144,46.586638360936334
40266.9688,89.51241738941468,46.80450458045271,8.381706494152734,42.43082298996192
40267.9688,89.51246197669603,46.80454718587189,7.705250573501325,38.2750076189875
40268.9688,89.5125065639774,46.80458979129107,7.028794652849916,34.11919224801308
40269.9688,89.51254874671645,46.804627776144656,6.917936825265485,30.9375
40270.9688,89.51259150833486,46.80467717566206,7.474577603687586,28.125
40271.9688,89.5126352506051,46.80473921271564,8.319112043639526,28.125
40272.9688,89.51267816696874,46.804786027261095,9.206966589094073,28.125
40273.9688,89.51272463435281,46.8048384979608,9.89872445600232,28.125
40274.9688,89.5127718383528,46.8048921419608,10.54980445600232,28.125
40275.9688,89.51282343473179,46.80495469297572,10.9872,28.125
40276.9688,89.51288402197063,46.805035475960864,10.9872,28.125
