TRP,LON,LAT,TA,GS
22870.625,89.5124548674,46.8040001392,143.4375,8.1387
22872.1328,89.5125406981,46.8039733171,132.1875,8.1387
22874.0859,89.5126640797,46.8039357662,123.75,9.3595
22874.5234,89.5126801729,46.8039250374,123.75,10.1733
22877.4844,89.5128840208,46.8038338423,120.9375,7.3248
22878.0312,89.5129215717,46.803817749,120.9375,7.3248
22878.4844,89.5129698515,46.8038070202,120.9375,9.3595
22878.9141,89.5130074024,46.8037962914,120.9375,9.3595
22879.4922,89.5130556822,46.8037748337,120.9375,10.9872
22880.0469,89.5131039619,46.8037480116,120.9375,10.9872
22880.6328,89.5131576061,46.8037265539,120.9375,13.0219
22881.1641,89.5132058859,46.8037050962,120.9375,13.0219
22881.6641,89.5132541656,46.8036836386,120.9375,13.8357
22882.0938,89.5133078098,46.8036675453,-10.0,-10.0
22882.6719,89.5133721828,46.8036460876,-10.0,-10.0
22883.2188,89.513425827,46.80362463,120.9375,14.6496
22883.7109,89.5134902,46.8036031723,-10.0,-10.0
22884.2969,89.5135545731,46.8035656214,120.9375,16.6843
22884.75,89.5136243105,46.8035495281,120.9375,16.6843
22885.8438,89.5137423277,46.8034958839,120.9375,17.4981
22886.3906,89.5138281584,46.8034636974,120.9375,18.7189
22887.7969,89.5140105486,46.80339396,120.9375,19.5328
22888.9141,89.5141714811,46.8033349514,120.9375,20.3467
22889.8828,89.514310956,46.8032759428,120.9375,13.8357
22891.3984,89.5145469904,46.8031901121,120.9375,14.6496
22891.9297,89.5146381855,46.8031579256,120.9375,14.6496
22893.0625,89.5148098469,46.8030881882,120.9375,15.8704
22894.4062,89.515029788,46.8029969931,120.9375,16.6843
22894.9219,89.5151156187,46.8029594421,118.125,16.6843
22897.8047,89.5155984163,46.8027770519,120.9375,17.4981
22906.1562,89.5170736313,46.8022030592,120.9375,18.7189
22910.5938,89.517813921,46.8019026518,120.9375,17.4981
22911.7109,89.5180016756,46.8018275499,120.9375,17.4981
22912.2344,89.5180767775,46.8017953634,120.9375,17.4981
22912.7891,89.5181894302,46.8017631769,120.9375,17.4981
22916.3516,89.5187580585,46.8015378714,120.9375,16.6843
22918.3359,89.5190638304,46.8014144897,120.9375,15.8704
22920.3828,89.5193749666,46.8012964725,120.9375,14.6496
22923.4453,89.5198202133,46.8011194468,-10.0,-10.0
22924.0078,89.5199006796,46.8010818958,120.9375,14.6496
