,LON,LAT,GS,TA
38107.3125,89.50412929,46.80741191,12.208,329.0625
38108.3125,89.50409453416263,46.80745739583737,12.208,327.4316311713412
38109.3125,89.50403955297496,46.80749889251783,11.91156145547829,325.5670597915569
38110.3125,89.5040049080393,46.80753417042866,10.879950625124449,322.6962815042696
38111.3125,89.50395770987004,46.807564751295786,9.972975068924539,317.1201752658519
38112.3125,89.50390612962671,46.8075894672291,9.237367918086264,309.375
38113.3125,89.50385706364506,46.807606030655286,7.986753481227789,305.5123720136458
38114.3125,89.50381710185647,46.807625267333684,6.348614691255149,294.67154026001276
38115.3125,89.50375875028574,46.807614223036246,4.562586773264638,285.6626298323689
38116.3125,89.50372960590741,46.80760877438716,3.010174013675062,273.08176617567676
38117.3125,89.5037026599894,46.807602294179695,2.23410600550955,260.0164891926224
38118.3125,89.50368873433028,46.807593626517765,4.094815261018126,245.2147851523407
38119.3125,89.50368065046212,46.807578755062586,5.6971,231.94826470586978
38120.3125,89.50367868,46.80756686188517,5.016943188882945,218.41075836533398
38121.3125,89.50368454683921,46.80755428876313,4.179530550546862,204.27167311977493
38122.3125,89.50369533291457,46.8075395352191,3.7050588619352345,191.62437096774798
38123.3125,89.5037020203695,46.80752898893903,4.140665597782793,181.33387767221447
38124.3125,89.50371283404144,46.80751866421145,4.9236324213414076,172.3138557748645
38125.3125,89.5037128325311,46.80750506619253,5.6971,166.9672796105932
38126.3125,89.5037300723795,46.80748390235677,5.525394331612802,162.23495756288312
38127.3125,89.50374633350546,46.80746763985299,4.628290526052714,157.5847880900444
38128.3125,89.50376259463143,46.807451377349196,3.7311867204926266,152.93461861720567
38129.3125,89.50377885575739,46.80743511484541,2.8340829149325386,148.28444914436693
38130.3125,89.5038032291169,46.80741505666786,2.9326260993886093,145.1187656417673
38131.3125,89.50382828441758,46.807398001561246,3.447606291527339,140.28672716693708
38132.3125,89.50385979624542,46.807376994989845,3.8690995123930865,137.098232425844
38133.3125,89.50389793118315,46.80734978491018,5.6971,132.1875
38134.3125,89.50394000209577,46.80732990687592,6.62723453199922,130.58032215933662
38135.3125,89.50398493807215,46.80730804003685,8.249628006203805,126.48211723062637
38136.3125,89.50404775158191,46.807284235750856,9.576559624575578,123.75
38137.3125,89.50410036022873,46.80725924674955,10.406849659010275,123.42717186024161
38138.3125,89.50417291309104,46.807236200014486,12.208,120.9375
38139.3125,89.50423065730523,46.80721361089826,9.879203685746482,120.9375
38140.3125,89.50430112335502,46.807186516682755,7.057883151486661,120.9375
38141.3125,89.50437312479248,46.80715490301105,7.990711006593918,120.9375
38142.3125,89.50446233926448,46.80712562732828,9.634581124932101,118.125
38143.3125,89.50455032217955,46.807093172659556,10.653670062220074,118.125
38144.3125,89.50463767824554,46.80706067332004,12.448156012591284,118.125
38145.3125,89.50472125218106,46.807022189758925,13.1439601372485,118.37348130915065
38146.3125,89.50483188367018,46.8069802256002,13.72271849310213,119.55167623163878
38147.3125,89.50493059044851,46.80693775958523,14.485586371304692,120.70458950274978
38148.3125,89.50503163889339,46.80690073490651,14.6496,120.9375
38149.3125,89.50513743324684,46.80686216501227,15.8704,118.125
38150.3125,89.50525152600257,46.80681887212457,16.290891851534738,118.125
38151.3125,89.50536649352796,46.80677250726477,16.6843,119.35850830900306
38152.3125,89.505482494855,46.80672573884572,17.4981,120.9375
38153.3125,89.50560807636734,46.806678774786675,17.4981,120.9375
38154.3125,89.50573616646665,46.80663258765143,18.368923680301783,120.9375
38155.3125,89.50586800815422,46.806585892653736,19.41070341508302,120.9375
38156.3125,89.50600082386653,46.80652532100872,19.659592046191843,120.9375
38157.3125,89.50614263353167,46.80647307631899,20.03706166867626,120.9375
38158.3125,89.5062809348869,46.80641838809574,18.295101367692293,120.9375
38159.3125,89.50640840533524,46.80635894488826,13.8357,120.9375
38160.3125,89.50655588998191,46.80630933373174,13.84849048049891,120.9375
38161.3125,89.50671047381786,46.80624821926987,14.121208614797153,120.9375
38162.3125,89.50686505765381,46.806187104808004,14.393926749095396,120.9375
38163.3125,89.5070198258324,46.806125770865144,14.707050493185806,120.80514456742704
38164.3125,89.50717735915066,46.80606114470748,15.626258384158692,118.68745764625956
38165.3125,89.50733755687553,46.8059982287897,16.021303347639616,118.64645922746827
38166.3125,89.50749871819843,46.80593593139005,16.226781762181243,119.35650719515266
38167.3125,89.50765987952134,46.80587363399041,16.432260176722874,120.06655516283706
38168.3125,89.50782104084423,46.805811336590764,16.6377385912645,120.77660313052145
38169.3125,89.50797433894387,46.805754716890696,16.6843,120.9375
38170.3125,89.50813434151868,46.805687757809835,16.6843,120.9375
38171.3125,89.50830751350576,46.8056245761294,16.911276785092234,120.15306622257077
38172.3125,89.50848642057208,46.80555611638357,17.4981,118.2959457428763
38173.3125,89.50864954199207,46.80549542053462,17.4981,119.29039450887461
38174.3125,89.50881266341206,46.80543472468567,17.4981,120.28484327487294
38175.3125,89.50897421897963,46.80537328231731,17.370615567217854,120.9375
38176.3125,89.50913278452991,46.80531041445961,16.999697811084523,120.9375
38177.3125,89.5092913500802,46.80524754660191,16.62878005495119,120.9375
38178.3125,89.5094499156305,46.805184678744205,16.257862298817855,120.9375
38179.3125,89.50960848118079,46.805121810886504,15.886944542684525,120.9375
38180.3125,89.50976704673107,46.805058943028804,15.51602678655119,120.9375
38181.3125,89.50992561228136,46.804996075171104,15.145109030417858,120.9375
38182.3125,89.51008417783166,46.804933207313404,14.774191274284526,120.9375
38183.3125,89.51022060687323,46.80487948531589,14.757137143691153,120.68975408205164
38184.3125,89.51034583932802,46.80483038926994,14.919066286426986,120.31669894284411
38185.3125,89.51047107178283,46.804781293223996,15.080995429162819,119.9436438036366
38186.3125,89.51059630423764,46.80473219717805,15.24292457189865,119.5705886644291
38187.3125,89.51072153669244,46.8046831011321,15.404853714634482,119.19753352522159
38188.3125,89.51084676914724,46.80463400508615,15.566782857370315,118.82447838601408
38189.3125,89.51097200160204,46.8045849090402,15.728712000106146,118.45142324680657
38190.3125,89.51109374824912,46.80453716938494,15.755016319388119,118.23892543504333
38191.3125,89.51119109424219,46.8044989244645,14.831946874493065,119.15032891538995
38192.3125,89.51128844023526,46.80446067954406,13.908877429598013,120.06173239573656
38193.3125,89.51138533613546,46.80442303497493,12.979469722664735,120.86471937260468
