TRP=22030.2578, LON=90.365188, GH=33625, GS=835.0277, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.814185
TRP=22030.8047, LON=90.364308, GH=33625, GS=835.0277, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.815343
TRP=22031.2578, LON=90.3633, GH=33625, GS=835.0277, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.816803
TRP=22031.8359, LON=90.362785, GH=33625, GS=835.0277, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.817489
TRP=22032.3516, LON=90.361884, GH=33625, GS=835.0277, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.818648
TRP=22032.8516, LON=90.361369, GH=33625, GS=835.0277, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.819377
TRP=22033.2656, LON=90.360618, GH=33625, GS=835.0277, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.820472
TRP=22033.8438, LON=90.360038, GH=33625, GS=835.0277, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.82118
TRP=22034.4062, LON=90.359201, GH=33625, GS=835.0277, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.822296
TRP=22034.875, LON=90.358386, GH=33625, GS=835.0277, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.823411
TRP=22035.3281, LON=90.357871, GH=33625, GS=835.0277, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.824141
TRP=22035.8828, LON=90.35697, GH=33625, GS=835.0277, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.825278
TRP=22036.3359, LON=90.356197, GH=33625, GS=835.0277, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.826373
TRP=22036.7812, LON=90.355618, GH=33625, GS=835.0277, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.827102
TRP=22037.2656, LON=90.355124, GH=33625, GS=835.0277, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.827832
TRP=22037.8438, LON=90.354331, GH=33625, GS=835.0277, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.828905
TRP=22038.3672, LON=90.353451, GH=33625, GS=835.0277, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.830042
TRP=22038.8281, LON=90.352871, GH=33625, GS=835.0277, TA=331.875, ADDR=780CE8, CS=CSC6589 , LAT=43.830771
TRP=22039.3359, LON=90.35212, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.831823
TRP=22039.8359, LON=90.351584, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.832574
TRP=22040.3047, LON=90.350704, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.83369
TRP=22040.8281, LON=90.350189, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.834441
TRP=22041.2812, LON=90.349116, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.835878
TRP=22041.7188, LON=90.34858, GH=33650, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.836629
TRP=22042.1719, LON=90.348065, GH=33650, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.837359
TRP=22042.7422, LON=90.347185, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.838496
TRP=22043.2969, LON=90.346434, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.839569
TRP=22043.7969, LON=90.345833, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.840299
TRP=22044.3125, LON=90.344954, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.841436
TRP=22044.8438, LON=90.344181, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.84253
TRP=22045.3672, LON=90.343409, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.843603
TRP=22045.8984, LON=90.342529, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.84474
TRP=22047.0234, LON=90.341198, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.846543
TRP=22047.5469, LON=90.340362, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.847659
TRP=22048.5234, LON=90.339031, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.849483
TRP=22049.4141, LON=90.337915, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.850963
TRP=22049.8672, LON=90.338774, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.849847
TRP=22050.375, LON=90.337873, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.851006
TRP=22050.9375, LON=90.336821, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.852444
TRP=22051.3516, LON=90.336285, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.853152
TRP=22052.3984, LON=90.334868, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.85504
TRP=22052.8438, LON=90.334289, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.85577
TRP=22053.3516, LON=90.333538, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.856821
TRP=22053.9219, LON=90.332701, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.857958
TRP=22054.375, LON=90.332122, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.858688
TRP=22054.7734, LON=90.331607, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.859417
TRP=22055.1875, LON=90.331028, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.860211
TRP=22056.1719, LON=90.329418, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.862379
TRP=22056.7031, LON=90.328538, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.863494
TRP=22057.1172, LON=90.328023, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.864224
TRP=22058.0938, LON=90.326672, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.866048
TRP=22058.6016, LON=90.326157, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.866799
TRP=22059.1172, LON=90.325277, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.867893
TRP=22059.5234, LON=90.324719, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.868623
TRP=22060.0859, LON=90.323668, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.870103
TRP=22060.6016, LON=90.323153, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.870833
TRP=22061.0078, LON=90.322616, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.871541
TRP=22062.0625, LON=90.320921, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.873773
TRP=22062.5781, LON=90.320406, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.874524
TRP=22063.5312, LON=90.318968, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.876369
TRP=22064.0625, LON=90.318239, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.877463
TRP=22064.5781, LON=90.317659, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.878193
TRP=22065.5469, LON=90.315964, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.880382
TRP=22066.0234, LON=90.315385, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.881176
TRP=22066.4844, LON=90.314634, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.882248
TRP=22066.8984, LON=90.314119, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.882957
TRP=22067.4766, LON=90.313218, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.884094
TRP=22068.5547, LON=90.311887, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.885918
TRP=22068.9688, LON=90.31105, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.886991
TRP=22069.8359, LON=90.309999, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.888493
TRP=22070.6484, LON=90.308883, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.889973
TRP=22071.6641, LON=90.307252, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.892162
TRP=22072.5859, LON=90.306137, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.893642
TRP=22073.0859, LON=90.305235, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.894758
TRP=22073.6016, LON=90.30472, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.895488
TRP=22074.6641, LON=90.304506, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.895831
TRP=22075.2422, LON=90.303626, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.896968
TRP=22075.8125, LON=90.302875, GH=33600, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.89802
TRP=22076.7656, LON=90.301394, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.899887
TRP=22077.7578, LON=90.300128, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.901711
TRP=22079.5938, LON=90.297318, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.905423
TRP=22080.5859, LON=90.296009, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.907247
TRP=22081.5156, LON=90.294571, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.909092
TRP=22083.5234, LON=90.291824, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.912804
TRP=22084.4688, LON=90.290408, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.914628
TRP=22084.9766, LON=90.289657, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.915722
TRP=22085.9062, LON=90.288241, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.917568
TRP=22086.3672, LON=90.287662, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.918297
TRP=22086.8281, LON=90.287147, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.919027
TRP=22087.4062, LON=90.286396, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.920143
TRP=22087.9766, LON=90.285494, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.92128
TRP=22088.5391, LON=90.2847, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.922331
TRP=22088.9922, LON=90.283906, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.923447
TRP=22089.4453, LON=90.283327, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.924198
TRP=22090.0234, LON=90.28249, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.925292
TRP=22090.5938, LON=90.281675, GH=33625, GS=836.6555, TA=331.5234, ADDR=780CE8, CS=CSC6589 , LAT=43.926387
